id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(117, '1C:C3:AB:B3:7F:08', 1773928860, '2026-03-19T14:01:06.157577',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1467,         1,     298, -84 , -86      ,         100,          2, 1)
(118, '28:05:A5:32:43:64', 1773928867, '2026-03-19T14:01:12.551365',           26.4 , 32.3       , 48.5    ,     51.8,       115,      1531,         1,     290, -53 , -53      ,         100,          2, 1)
(119, '1C:C3:AB:B3:7F:08', 1773928870, '2026-03-19T14:01:12.722355',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1469,         1,     299, -85 , -89      ,         100,          2, 1)
(120, '28:05:A5:32:43:64', 1773928877, '2026-03-19T14:01:21.006104',           26.07, 32.3       , 48.5    ,     51.9,       114,      1535,         1,     291, -53 , -53      ,         100,          2, 1)
(121, '1C:C3:AB:B3:7F:08', 1773928880, '2026-03-19T14:01:21.142790',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1470,         1,     300, -83 , -86      ,         100,          2, 1)
(122, '1C:C3:AB:B3:7F:08', 1773928850, '2026-03-19T14:01:31.071956',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1466,         1,     297, -81 , -85      ,         100,          2, 1)
(123, '28:05:A5:32:43:64', 1773928887, '2026-03-19T14:01:34.012718',           25.74, 32.3       , 48.5    ,     51.8,       113,      1525,         1,     292, -53 , -53      ,         100,          2, 1)
(124, '1C:C3:AB:B3:7F:08', 1773928890, '2026-03-19T14:01:52.136981',            6.1 , 32.8       , 50.3    ,     51.5,         0,      1471,         1,     301, -82 , -86      ,         100,          2, 1)
(125, '28:05:A5:32:43:64', 1773928897, '2026-03-19T14:01:53.096766',           25.74, 32.3       , 48.5    ,     51.9,       112,      1534,         1,     293, -53 , -53      ,         100,          2, 1)
(126, '1C:C3:AB:B3:7F:08', 1773928900, '2026-03-19T14:01:53.183293',            6.1 , 32.8       , 50.3    ,     51.5,         0,      1471,         1,     302, -76 , -86      ,         100,          2, 1)
(127, '1C:C3:AB:B3:7F:08', 1773928890, '2026-03-19T14:01:53.263707',            6.1 , 32.8       , 50.3    ,     51.5,         0,      1471,         1,     301, -82 , -86      ,         100,          2, 1)
(128, '28:05:A5:32:43:64', 1773928907, '2026-03-19T14:01:53.327708',           25.41, 32.4       , 48.5    ,     51.8,       111,      1521,         1,     294, -53 , -52      ,         100,          2, 1)
(129, '1C:C3:AB:B3:7F:08', 1773928910, '2026-03-19T14:01:53.404282',            6.1 , 32.9       , 50.2    ,     51.5,         0,      1472,         1,     303, -80 , -84      ,         100,          2, 1)
(130, '1C:C3:AB:B3:7F:08', 1773928921, '2026-03-19T14:02:10.261937',            6.1 , 32.9       , 50.2    ,     51.5,         0,      1473,         1,     304, -85 , -86      ,         100,          2, 1)
(131, '28:05:A5:32:43:64', 1773928918, '2026-03-19T14:02:13.230223',           25.41, 32.4       , 48.5    ,     51.8,       111,      1523,         1,     295, -54 , -53      ,         100,          2, 1)
(132, '28:05:A5:32:43:64', 1773928928, '2026-03-19T14:02:13.402441',           25.41, 32.4       , 48.5    ,     51.8,       111,      1519,         1,     296, -53 , -53      ,         100,          2, 1)
(133, '1C:C3:AB:B3:7F:08', 1773928931, '2026-03-19T14:02:13.488099',            6.1 , 32.9       , 50.2    ,     51.5,         0,      1474,         1,     305, -82 , -84      ,         100,          2, 1)
(134, '1C:C3:AB:B3:7F:08', 1773928941, '2026-03-19T14:02:31.703430',            6.1 , 32.9       , 50.2    ,     51.5,         0,      1474,         1,     306, -79 , -77      ,         100,          2, 1)
(135, '28:05:A5:32:43:64', 1773928938, '2026-03-19T14:02:32.281905',           24.44, 32.4       , 48.5    ,     51.8,       108,      1519,         1,     297, -53 , -53      ,         100,          2, 1)
(136, '28:05:A5:32:43:64', 1773928948, '2026-03-19T14:02:32.322816',           24.44, 32.4       , 48.5    ,     51.8,       108,      1520,         1,     298, -53 , -53      ,         100,          2, 1)
